ride_id;customer_id;driver_id;start_location;end_location;city;country;ride_date;ride_time;ride_duration_minutes;fare_amount;ride_distance_miles;payment_method;voucher;rating
5883;242;353;9 Ohio Avenue;2087 Oak Crossing;Lubień;Poland;10/11/2024;21:18;14;97.15;6.8;cash;;5
7978;7660;861;017 Raven Hill;1 Rockefeller Lane;Springfield;United States;1/21/2024;08:13;63;11.54;8.9;credit card;;3
7765;1235;892;60542 La Follette Road;3 Blackbird Pass;Ob’;Russia;5/25/2024;13:38;52;41.04;0.8;cash;;4
2106;10548;9;8 Fuller Park;649 Hooker Court;Chilmāri;Bangladesh;6/29/2024;21:27;12;66.56;10.1;mobile wallet;;2
8936;3087;66;365 Manufacturers Crossing;83 Superior Hill;Jixing;China;5/13/2024;01:06;78;32.56;3.5;credit card;;4
5014;7880;771;923 Hanover Drive;102 Pankratz Junction;Krasni Okny;Ukraine;1/17/2024;19:32;39;20.25;15.2;mobile wallet;;3
6009;6711;155;83 American Drive;3 Sheridan Terrace;Nyíregyháza;Hungary;2/13/2024;20:33;55;43.72;10.4;mobile wallet;;5
7217;8315;896;6361 Vera Lane;75 Schurz Hill;Aranhas;Portugal;8/20/2024;13:05;99;97.43;1.4;credit card;;4
6442;2838;238;7776 Harbort Plaza;614 Harbort Park;Linmansangan;Philippines;12/11/2024;15:39;16;15.05;4.7;credit card;;4
6232;10523;365;20 Straubel Trail;79 Dryden Place;Juatuba;Brazil;11/27/2024;17:05;9;26.09;17.1;credit card;456JKL;3
7164;2741;720;3340 Trailsway Point;2913 Ridgeview Crossing;Thanh Khê;Vietnam;5/31/2024;01:21;120;60.55;19.7;mobile wallet;;4
7257;1108;47;7 Ryan Way;664 Pleasure Pass;Waoundé;Senegal;07/03/2024;20:06;41;66.72;11.9;cash;ABC123;5
4534;3219;198;0527 Charing Cross Street;38167 Redwing Point;Junchuan;China;2/20/2024;11:26;83;66.31;0.8;credit card;MNO789;4
1331;8075;308;017 Badeau Alley;12669 Little Fleur Road;El Cafetal;Venezuela;01/06/2024;17:53;86;29.64;4.5;mobile wallet;;4
3894;6145;461;47 Golf Course Park;26825 Bonner Hill;Cololaca;Honduras;8/16/2024;04:27;105;72.1;10.4;cash;;5
6037;1890;231;5057 Reindahl Circle;174 Commercial Hill;Cherëmukhovo;Russia;8/13/2024;19:22;72;95.58;6.7;credit card;;3
5656;6459;653;94 Fisk Point;87 Sommers Place;Aglipay;Philippines;05/04/2024;09:44;95;54.77;14.3;credit card;PQR123;3
8712;1791;132;1407 Mayer Crossing;5791 Kim Court;Xam Nua;Laos;9/16/2024;03:11;17;32.05;14.7;mobile wallet;;4
1878;7583;639;62483 Lukken Way;5 Jay Center;Vale Mourão;Portugal;7/31/2024;21:44;46;79.83;11.0;credit card;;4
5480;3423;866;182 Swallow Road;05 Everett Plaza;Lingqiao;China;03/05/2024;22:55;30;16.23;12.9;credit card;PQR123;3
